Item;Qtd_relatorio;Qtd_orcamento;Diferenca;Status
1.1;;1,00;;Não citado no relatório
1.2;;112,00;;Não citado no relatório
2.12;1,20;1,20;0,00;Compatível
2.18;0,31;0,31;0,00;Compatível
10.15;6,20;6,20;0,00;Compatível
12.10;3,15;3,15;0,00;Compatível
17.2;4,55;4,55;0,00;Compatível
17.6;5,42;5,42;0,00;Compatível
17.10;7,52;7,52;0,00;Compatível
19.1;3,00;3,00;0,00;Compatível
19.3;14,00;14,00;0,00;Compatível
19.8;10,00;10,00;0,00;Compatível
20.14;1,00;1,00;0,00;Compatível
20.15;1,00;1,00;0,00;Compatível
20.20;1,00;1,00;0,00;Compatível
28.18;1,00;1,00;0,00;Compatível
28.20;1,00;1,00;0,00;Compatível
28.22;2,00;2,00;0,00;Compatível
28.31;1,00;1,00;0,00;Compatível
28.32;1,00;1,00;0,00;Compatível
29.6;12,00;12,00;0,00;Compatível
29.11;14,03;14,03;0,00;Compatível
29.22;2,00;2,00;0,00;Compatível
29.24;1,41;1,41;0,00;Compatível
