Item;Qtd_relatorio;Qtd_orcamento;Diferenca;Status
1.1;;1,00;;Não citado no relatório
1.2;;10,00;;Não citado no relatório
2.4;1,92;1,92;0,00;Compatível
2.18;0,20;0,20;0,00;Compatível
2.21;18,00;18,00;0,00;Compatível
2.24;1,00;1,00;0,00;Compatível
10.1;2,92;2,92;0,00;Compatível
10.14;1,92;1,92;0,00;Compatível
13.12;11,00;11,00;0,00;Compatível
17.1;24,90;24,90;0,00;Compatível
17.3;23,16;23,16;0,00;Compatível
17.4;1870,98;1870,98;0,00;Compatível
17.8;257,64;257,64;0,00;Compatível
17.9;169,84;169,84;0,00;Compatível
19.80;1,00;1,00;0,00;Compatível
19.96;1,00;1,00;0,00;Compatível
19.104;1,00;;;Não previsto no orçamento
28.18;1,00;1,00;0,00;Compatível
28.26;1,00;1,00;0,00;Compatível
29.12;91,00;91,00;0,00;Compatível
29.24;9,10;9,10;0,00;Compatível
