Item;Qtd_relatorio;Qtd_orcamento;Diferenca;Status
1.2;;322,00;;Não citado no relatório
1.5;;2,00;;Não citado no relatório
2.1;0,50;0,50;0,00;Compatível
2.12;0,20;0,20;0,00;Compatível
2.18;2,87;2,87;0,00;Compatível
2.21;6,00;6,00;0,00;Compatível
5.4;1,80;1,80;0,00;Compatível
8.2;15,75;15,75;0,00;Compatível
8.5;7,65;7,65;0,00;Compatível
10.15;1,55;1,55;0,00;Compatível
12.10;8,66;8,66;0,00;Compatível
13.12;11,00;11,00;0,00;Compatível
17.2;0,34;0,34;0,00;Compatível
17.4;428,76;428,76;0,00;Compatível
17.7;17,01;17,01;0,00;Compatível
17.8;140,95;140,95;0,00;Compatível
17.11;99,09;99,09;0,00;Compatível
19.3;7,00;7,00;0,00;Compatível
19.6;1,00;1,00;0,00;Compatível
19.8;2,00;2,00;0,00;Compatível
19.35;2,00;2,00;0,00;Compatível
19.37;4,00;4,00;0,00;Compatível
19.53;2,00;2,00;0,00;Compatível
19.89;2,00;2,00;0,00;Compatível
28.3;1,00;1,00;0,00;Compatível
28.23;1,00;1,00;0,00;Compatível
28.25;1,00;1,00;0,00;Compatível
28.31;1,00;1,00;0,00;Compatível
29.2;8,76;8,76;0,00;Compatível
29.6;2,00;2,00;0,00;Compatível
29.24;0,88;0,88;0,00;Compatível
29.43;3,00;3,00;0,00;Compatível
