COMPARAÇÃO DE ITENS (RELATÓRIO x ORÇAMENTO)
Data/Hora: 2026-02-23 11:50:00
Relatório: C:/Users/thiag/Desktop/000 - Minha Demanda/2 - EM ANDAMENTO/ABRE CAMPO 1326 - Aguardando relatório/- Envio portal/RELATÓRIO FOTOGRÁFICO - ABRE CAMPO - LEVANTAMENTO PREVENTIVO.docx
Orçamento: C:/Users/thiag/Desktop/000 - Minha Demanda/2 - EM ANDAMENTO/ABRE CAMPO 1326 - Aguardando relatório/- Envio portal/PREVISÃO ORÇAMENTÁRIA PARA APROVAÇÃO - ABRE CAMPO - LEVANTAMENTO PREVENTIVO.xlsx

RESUMO
- Total de linhas comparadas: 21
- Compatíveis: 0
- Divergentes: 0
- Só no orçamento (não citado no relatório): 2
- Só no relatório (não previsto no orçamento): 19

DETALHAMENTO
Item	QtdRelatorio	QtdOrcamento	Diferenca	Status
1.2		451,00		Não citado no relatório
1.5		1,00		Não citado no relatório
2.27	4,25			Não previsto no orçamento
13.12	23,00			Não previsto no orçamento
13.20	1,00			Não previsto no orçamento
15.3	2,00			Não previsto no orçamento
17.1	1,89			Não previsto no orçamento
17.2	16,50			Não previsto no orçamento
17.6	12,68			Não previsto no orçamento
17.9	6,08			Não previsto no orçamento
17.10	18,49			Não previsto no orçamento
17.11	445,77			Não previsto no orçamento
19.3	8,00			Não previsto no orçamento
19.37	2,00			Não previsto no orçamento
19.48	6,00			Não previsto no orçamento
19.50	1,00			Não previsto no orçamento
19.96	1,00			Não previsto no orçamento
19.104	1,00			Não previsto no orçamento
21.6	1,00			Não previsto no orçamento
28.22	1,00			Não previsto no orçamento
29.44	0,06			Não previsto no orçamento
